MATCHKEY,CITYLABEL,FREQ,LAT,LNG,TYPE,STATEEMP,STATEWORK,NATEMP,NATWORK
SKOWHEGAN-ME,"SKOWHEGAN, ME",1,44.765262,-69.719238,State Top Employer,True,False,False,False
ELDORA-IA,"ELDORA, IA",1,42.360816,-93.0996464,State Top Employer,True,False,False,False
ELIZABETHTOWN-KY,"ELIZABETHTOWN, KY",1,37.693952,-85.8591285,State Top Employer,True,False,False,False
ELLINGTON-CT,"ELLINGTON, CT",1,41.90398629999999,-72.4698071,State Top Employer,True,False,False,False
NORTH MIAMI BEACH-FL,"NORTH MIAMI BEACH, FL",1,25.9331488,-80.1625463,National Top Worksite,False,False,False,True
EUGENE-OR,"EUGENE, OR",1,44.0505054,-123.09505060000001,State Top Employer,True,False,False,False
NORTH HAVEN-CT,"NORTH HAVEN, CT",1,41.390930499999996,-72.859545,State Top Employer,True,False,False,False
NORTH BRUNSWICK-NJ,"NORTH BRUNSWICK, NJ",1,34.3129464,-78.1611077,National Top Employer,False,False,True,False
FAIRFAX-VA,"FAIRFAX, VA",1,38.8462236,-77.3063733,State Top Employer,True,False,False,False
FAIRMONT-WV,"FAIRMONT, WV",1,39.4850848,-80.1425781,State Top Employer,True,False,False,False
NEWCOMB-NM,"NEWCOMB, NM",1,36.2813417,-108.7066824,State Top Employer,True,False,False,False
FARMINGTON-UT,"FARMINGTON, UT",1,40.98044229999999,-111.88746880000001,State Top Employer,True,False,False,False
FLOWOOD-MS,"FLOWOOD, MS",1,32.309590299999996,-90.1389757,State Top Employer,True,False,False,False
FORT DODGE-IA,"FORT DODGE, IA",1,42.49746939999999,-94.16801579999999,State Top Employer,True,False,False,False
NEW YORK-NM,"NEW YORK, NM",1,35.0586534,-107.5272717,State Top Employer,True,False,False,False
NEW MARTINSVILLE-WV,"NEW MARTINSVILLE, WV",1,39.644521399999995,-80.8575993,State Top Employer,True,False,False,False
FOSTER CITY-CA,"FOSTER CITY, CA",1,37.560033600000004,-122.26885220000001,National Top Worksite,False,False,False,True
FRAMINGHAM-MH,"FRAMINGHAM, MH",1,42.279286,-71.416156,State Top Employer,True,False,False,False
NEW BRUNSWICK-NJ,"NEW BRUNSWICK, NJ",1,40.4862174,-74.4518173,National Top Worksite,False,False,False,True
NASHUA-MT,"NASHUA, MT",1,48.132242,-106.35642,State Top Employer,True,False,False,False
FRAZER-MT,"FRAZER, MT",1,48.059384200000004,-106.04235600000001,State Top Employer,True,False,False,False
FREEPORT-ME,"FREEPORT, ME",1,43.857307,-70.10376,State Top Employer,True,False,False,False
NAPERVILLE-IL,"NAPERVILLE, IL",1,41.7728659,-88.1478527,National Top Worksite,False,False,False,True
FRIDLEY-MN,"FRIDLEY, MN",1,45.0838291,-93.25903879999998,State Top Employer,True,False,False,False
EL PRADO-NM,"EL PRADO, NM",1,36.4316929,-105.57473300000001,State Top Employer,True,False,False,False
NORTH PROVIDENCE-RI,"NORTH PROVIDENCE, RI",1,41.8500997,-71.4661703,State Top Employer,True,False,False,False
O FALLON-MT,"O FALLON, MT",1,46.32919570000001,-104.4366483,State Top Employer,True,False,False,False
OAKLEY-KS,"OAKLEY, KS",1,39.126385,-100.855611,State Top Employer,True,False,False,False
RESTON-VI,"RESTON, VI",1,38.9584018,-77.3579743,State Top Employer,True,False,False,False
RESEARCH TRIANGLE PARK-MP,"RESEARCH TRIANGLE PARK, MP",1,35.899167999999996,-78.86364,State Top Employer,True,False,False,False
RENO-NV,"RENO, NV",1,39.529270000000004,-119.8136744,State Top Employer,True,False,False,False
REDWOOD CITY-CA,"REDWOOD CITY, CA",1,37.4863239,-122.2325233,National Top Worksite,False,False,False,True
DEER ISLE-ME,"DEER ISLE, ME",1,44.22790695,-68.6550882121273,State Top Employer,True,False,False,False
DELAND-FM,"DELAND, FM",1,28.921377000000003,-81.31895300000001,State Top Employer,True,False,False,False
DELAWARE-OR,"DELAWARE, OR",1,45.5827651,-122.69243999999999,State Top Employer,True,False,False,False
RANDOLPH CENTER-VT,"RANDOLPH CENTER, VT",1,43.94089879999999,-72.607603,State Top Employer,True,False,False,False
PROVO-UT,"PROVO, UT",1,40.233843799999995,-111.6585337,State Top Employer,True,False,False,False
KING OF PRUSSIA-PA,"KING OF PRUSSIA, PA",1,40.095044,-75.38515993337408,State Top Employer,True,False,False,False
MURRAY-UT,"MURRAY, UT",1,40.6667841,-111.88841699999999,State Top Employer,True,False,False,False
PLAINS-MT,"PLAINS, MT",1,47.4605431,-114.88478870000002,State Top Employer,True,False,False,False
PICKENS-MS,"PICKENS, MS",1,32.8837433,-89.9714731,State Top Employer,True,False,False,False
DULLES-VA,"DULLES, VA",1,38.9538385,-77.39040229999999,State Top Employer,True,False,False,False
DULUTH-GA,"DULUTH, GA",1,34.0028569,-84.14410459999999,National Top Worksite,False,False,False,True
DUNCAN-SC,"DUNCAN, SC",1,34.937896200000004,-82.14510959999998,State Top Employer,True,False,False,False
EAGLE BUTTE-SD,"EAGLE BUTTE, SD",1,45.000375,-101.234324,State Top Employer,True,False,False,False
PAPILLION-NE,"PAPILLION, NE",1,41.1544433,-96.04223780000001,State Top Employer,True,False,False,False
OXFORD-MS,"OXFORD, MS",1,34.366412700000005,-89.5187664,State Top Employer,True,False,False,False
ORDOT-GU,"ORDOT, GU",1,13.447507,144.764831898936,State Top Employer,True,False,False,False
EAST LANSING-MI,"EAST LANSING, MI",1,42.735541600000005,-84.4852469,National Top Employer,False,False,True,False
OLIVE BRANCH-MS,"OLIVE BRANCH, MS",1,34.9617605,-89.82953149999999,State Top Employer,True,False,False,False
PIKEVILLE-KY,"PIKEVILLE, KY",1,37.4792672,-82.51876290000001,State Top Employer,True,False,False,False
FT. SMITH-AR,"FT. SMITH, AR",1,35.3872218,-94.4248983,State Top Employer,True,False,False,False
MT PLEASANT-SC,"MT PLEASANT, SC",1,32.794065100000005,-79.86258509999999,State Top Employer,True,False,False,False
MORRILL-ME,"MORRILL, ME",1,44.4431297,-69.1492059,State Top Employer,True,False,False,False
HIGHLAND HEIGHTS-KY,"HIGHLAND HEIGHTS, KY",1,39.033090200000004,-84.4521512,State Top Employer,True,False,False,False
MANKATO-MN,"MANKATO, MN",1,44.163466299999996,-93.9993505,State Top Employer,True,False,False,False
HOULTON-ME,"HOULTON, ME",1,46.125128600000004,-67.84079440000001,State Top Employer,True,False,False,False
MALTA-NY,"MALTA, NY",1,42.985439,-73.786824,National Top Worksite,False,False,False,True
HOUSTON-VI,"HOUSTON, VI",1,38.82268405,-77.0454486216817,State Top Employer,True,False,False,False
HUMACAO-PR,"HUMACAO, PR",1,18.163938100000003,-65.7994517,State Top Employer,True,False,False,False
MADISON-SD,"MADISON, SD",1,44.006085,-97.11395,State Top Employer,True,False,False,False
MADISON-AL,"MADISON, AL",1,34.7736807,-86.5675095,State Top Employer,True,False,False,False
INDEPENDENCE-MT,"INDEPENDENCE, MT",1,45.212438,-110.24630309999999,State Top Employer,True,False,False,False
MACHIAS-ME,"MACHIAS, ME",1,44.715514,-67.461548,State Top Employer,True,False,False,False
