quarter,result,fips,app_count,worker_count,min_yr_sal,avg_yr_sal,max_yr_sal,min_pw,avg_pw,max_pw,avg_decdur,naics5,job,empcity,samest,ssst
2015Q1,CERTIFIED,01015,1,1,78874.0,78874.0,78874.0,78874.0,78874.0,78874.0,6,33611,SENIOR ENGINEER - STRUCTURAL,ANNISTON-AL,1,100.0
2015Q1,CERTIFIED,01017,5,5,45000.0,55367.0,66560.0,29286.0,50249.0,64750.0,5,3363,PHYSICAL THERAPIST,CUSSETA-AL,3,60.0
2015Q1,CERTIFIED,01021,1,1,56707.0,56707.0,56707.0,49143.0,49143.0,49143.0,7,6113,ASSISTANT PROFESSOR OF ELEMENTARY EDUCATION,MONTEVALLO-AL,1,100.0
2015Q1,CERTIFIED,01041,3,3,53186.0,62124.0,80000.0,53186.0,53588.0,54392.0,6,3363,FACTORY AUTOMATION ENGINEER,LUVERNE-AL,3,100.0
2015Q1,CERTIFIED,01043,1,1,41600.0,41600.0,41600.0,40477.0,40477.0,40477.0,4,61111,CHINESE PROGRAM ADMINISTRATOR,CULLMAN-AL,1,100.0
2015Q1,CERTIFIED,01051,3,3,56784.0,56784.0,56784.0,23462.0,23462.0,23462.0,7,6113,COMPANY DESIGNATED MANAGER FOR INTERNSHIP PROGRAM,ALEXANDER CITY-AL,3,100.0
2015Q1,CERTIFIED,01069,1,1,85000.0,85000.0,85000.0,75837.0,75837.0,75837.0,7,62111,SOFTWARE ENGINEER,DOTHAN-AL,1,100.0
2015Q1,CERTIFIED,01073,35,224,20800.0,75713.0,180000.0,17618.0,65055.0,153546.0,6,56131,PHYSICAL THERAPIST,BIRMINGHAM-AL,9,25.71
2015Q1,CERTIFIED,01081,11,11,38000.0,59629.0,94120.0,36810.0,49467.0,72072.0,5,61131,FINANCIAL/COST ANALYST,AUBURN-AL,9,81.82
2015Q1,CERTIFIED,01083,1,1,99840.0,99840.0,99840.0,57200.0,57200.0,57200.0,6,54133,MECHANICAL ENGINEERING SPECIALIST I,HARVEST-AL,1,100.0
2015Q1,CERTIFIED,01087,3,3,45000.0,57193.0,70000.0,38854.0,53688.0,66050.0,6,33639,ASSISTANT PROFESSOR,AUBURN-AL,3,100.0
2015Q1,CERTIFIED,01089,19,19,43907.0,83730.0,218400.0,36190.0,69349.0,131955.0,5,54151,DESIGN ENGINEER/ADVANCED SOFTWARE ENGINEER,HUNTSVILLE-AL,14,73.68
2015Q1,CERTIFIED,01091,1,1,41954.0,41954.0,41954.0,41954.0,41954.0,41954.0,7,62211,MEDICAL TECHNOLOGIST,DEMOPOLIS-AL,1,100.0
2015Q1,CERTIFIED,01097,3,3,40400.0,60133.0,70000.0,38314.0,48769.0,53997.0,6,48311,ACCOUNT MANAGER,MOBILE-AL,1,33.33
2015Q1,CERTIFIED,01101,8,8,29414.0,47184.0,58350.0,28829.0,37900.0,50502.0,6,61131,COMMERCIAL INTERIOR DESIGNER,MONTGOMERY-AL,8,100.0
2015Q1,CERTIFIED,01115,2,2,100000.0,100000.0,100000.0,88629.0,93766.0,98904.0,6,54151,COMPUTER SYSTEMS ANALYST,MOODY-AL,2,100.0
2015Q1,CERTIFIED,01117,5,5,64106.0,82421.0,95000.0,54309.0,61884.0,72030.0,6,51112,SENIOR PROJECT ENGINEER,BIRMINGHAM-AL,3,60.0
2015Q1,CERTIFIED,01119,1,1,49496.0,49496.0,49496.0,47963.0,47963.0,47963.0,7,61131,"ASSISTANT PROFESSOR, FOREIGN LANGUAGE AND LITERATURE",LIVINGSTON-AL,1,100.0
2015Q1,CERTIFIED,01121,1,1,44489.0,44489.0,44489.0,39978.0,39978.0,39978.0,7,54133,INTERNATIONAL SALES REPRESENTATIVE,MUNFORD-AL,1,100.0
2015Q1,CERTIFIED,01125,2,2,80850.0,93205.0,105560.0,78666.0,84126.0,89586.0,6,33611,TEST ENGINEER,VANCE-AL,1,50.0
2015Q1,CERTIFIED,01129,2,2,74650.0,87490.0,100330.0,67475.0,69888.0,72301.0,6,33111,QUALITY PLANNING ENGINEER,CALVERT-AL,2,100.0
2015Q1,CERTIFIED,02020,10,10,50000.0,147574.0,580653.0,45469.0,90829.0,193960.0,6,52213,PROGRAMMER ANALYST,ANCHORAGE-AK,8,80.0
2015Q1,CERTIFIED,02090,4,4,51626.0,72622.0,90667.0,44433.0,57292.0,68800.0,5,61131,RESEARCH ASSISTANT PROFESSOR,FAIRBANKS-AK,4,100.0
2015Q1,CERTIFIED,02110,1,1,74672.0,74672.0,74672.0,54912.0,54912.0,54912.0,6,62211,MEDICAL TECHNOLOGIST,JUNEAU-AK,1,100.0
2015Q1,CERTIFIED,02122,1,1,85800.0,85800.0,85800.0,76586.0,76586.0,76586.0,7,31171,COLD STORAGE MANAGER,KENAI-AK,1,100.0
2015Q1,CERTIFIED,02170,2,2,104270.0,104270.0,104270.0,53643.0,65052.0,76461.0,7,54136,LEAD HYDROGRAPHER,PALMER-AK,1,50.0
2015Q1,CERTIFIED,02220,1,1,31637.0,31637.0,31637.0,31637.0,31637.0,31637.0,6,81331,TONGASS CONSERVATION AND MANAGEMENT RESIDENT,SITKA-AK,1,100.0
2015Q1,CERTIFIED,04005,7,7,33520.0,42770.0,62000.0,27380.0,36063.0,44138.0,6,61111,ELEMENTARY  SCHOOL TEACHER,TUBA CITY-AZ,7,100.0
2015Q1,CERTIFIED,04007,1,1,43000.0,43000.0,43000.0,37953.0,37953.0,37953.0,7,61111,SPECIAL EDUCATION TEACHER,GLOBE-AZ,1,100.0
2015Q1,CERTIFIED,04013,277,307,31870.0,92258.0,312000.0,30160.0,77385.0,210995.0,5,54151,SOFTWARE ENGINEER,PHOENIX-AZ,169,61.01
2015Q1,CERTIFIED,04015,1,1,39551.0,39551.0,39551.0,33650.0,33650.0,33650.0,6,6111,SPECIAL EDUCATION TEACHER,BULLHEAD CITY-AZ,1,100.0
2015Q1,CERTIFIED,04017,9,9,34000.0,35373.0,40000.0,32720.0,33454.0,35235.0,5,61111,PUBLIC SCHOOL TEACHER,PINON-AZ,9,100.0
2015Q1,CERTIFIED,04019,48,48,31125.0,75721.0,317690.0,24482.0,57469.0,118597.0,6,61131,TEACHER,TUCSON-AZ,43,89.58
2015Q1,CERTIFIED,04021,4,4,42900.0,76300.0,155000.0,41163.0,60728.0,109179.0,5,61111,SPECIAL EDUCATION TEACHER,FLORENCE-AZ,3,75.0
2015Q1,CERTIFIED,04023,1,1,75000.0,75000.0,75000.0,61318.0,61318.0,61318.0,7,42448,DIRECTOR OF INTEGRATED LOGISTIC STRATEGY,RIO RICO-AZ,1,100.0
2015Q1,CERTIFIED,04025,2,2,55411.0,57706.0,60000.0,50710.0,53061.0,55411.0,6,54141,EXECUTIVE DIRECTOR OF DESIGN,PRESCOTT-AZ,2,100.0
2015Q1,CERTIFIED,04027,5,5,33270.0,53841.0,85000.0,32340.0,44231.0,54122.0,5,62231,PHYSICAL THERAPIST,YUMA-AZ,5,100.0
2015Q1,CERTIFIED,05005,1,1,30784.0,30784.0,30784.0,26957.0,26957.0,26957.0,6,62211,MEDICAL TECHNOLOGIST,CALICO ROCK-AR,1,100.0
2015Q1,CERTIFIED,05007,134,134,60008.0,124224.0,187000.0,49400.0,105689.0,152776.0,6,45291,SENIOR SOFTWARE ENGINEER,BENTONVILLE-AR,29,21.64
2015Q1,CERTIFIED,05025,1,1,93000.0,93000.0,93000.0,65229.0,65229.0,65229.0,6,62211,APPLICATION ENGINEER,PINE BLUFF-AR,1,100.0
2015Q1,CERTIFIED,05029,1,1,83000.0,83000.0,83000.0,81994.0,81994.0,81994.0,7,32211,PROCESS IMPROVEMENT ENGINEER,MORRILTON-AR,1,100.0
2015Q1,CERTIFIED,05031,2,2,29059.0,56030.0,83000.0,26897.0,42288.0,57680.0,6,61131,ACADEMIC SPECIALIST,STATE UNIVERSITY-AR,2,100.0
2015Q1,CERTIFIED,05035,1,1,62500.0,62500.0,62500.0,45253.0,45253.0,45253.0,6,6113,HOSPITALITY/FOOD SERVICES LEAD FACULTY,WEST MEMPHIS-AR,1,100.0
2015Q1,CERTIFIED,05045,1,1,57783.0,57783.0,57783.0,54891.0,54891.0,54891.0,6,61131,FINANCE TECHNICAL SUPPORT SPECIALIST,CONWAY-AR,1,100.0
2015Q1,CERTIFIED,05069,1,1,56098.0,56098.0,56098.0,56098.0,56098.0,56098.0,6,61131,EXTENSION ASSOCIATE (FISH PATHOLOGY),PINE BLUFF-AR,1,100.0
2015Q1,CERTIFIED,05085,1,1,68640.0,68640.0,68640.0,68578.0,68578.0,68578.0,4,44719,COMPUTER & INFORMATION SYSTEMS MANAGER,CABOT-AR,1,100.0
2015Q1,CERTIFIED,05117,1,1,87000.0,87000.0,87000.0,81806.0,81806.0,81806.0,6,5415,SYSTEM ENGINEER,STUTTGART-AR,1,100.0
2015Q1,CERTIFIED,05119,49,50,36816.0,76699.0,190000.0,33051.0,62542.0,139818.0,5,54151,ASSISTANT PROFESSOR,LITTLE ROCK-AR,28,57.14
2015Q1,CERTIFIED,05131,25,25,58100.0,83729.0,200000.0,53435.0,77588.0,187200.0,6,62134,PHYSICAL THERAPIST,FT. SMITH-AR,4,16.0
2015Q1,CERTIFIED,05139,2,2,39520.0,40654.0,41787.0,36670.0,38574.0,40477.0,7,62211,MEDICAL TECHNOLOGIST,MAGNOLIA-AR,2,100.0
2015Q1,CERTIFIED,05143,18,18,35000.0,76416.0,148600.0,22277.0,50884.0,79186.0,5,61131,ASSISTANT PROFESSOR,FAYETTEVILLE-AR,15,83.33
