quarter,result,state,app_count,worker_count,min_yr_sal,avg_yr_sal,max_yr_sal,min_pw,avg_pw,max_pw,avg_decdur,naics5,job,empcity,samest,ssst
2015Q1,CERTIFIED,AK,19,19,31637.0,114046.0,580653.0,31637.0,75300.0,193960.0,6,61131,PROGRAMMER ANALYST,ANCHORAGE-AK,16,84.21
2015Q1,CERTIFIED,AL,110,299,20800.0,70943.0,218400.0,17618.0,59384.0,153546.0,5,56131,PHYSICAL THERAPIST,BIRMINGHAM-AL,68,61.82
2015Q1,CERTIFIED,AR,239,240,29059.0,103250.0,200000.0,22277.0,86980.0,187200.0,6,45291,SENIOR SOFTWARE ENGINEER,BENTONVILLE-AR,89,37.24
2015Q1,CERTIFIED,AZ,356,386,31125.0,86462.0,317690.0,24482.0,71803.0,210995.0,5,54151,SOFTWARE ENGINEER,PHOENIX-AZ,239,67.13
2015Q1,CERTIFIED,CA,11275,22158,18720.0,103309.0,400010.0,18720.0,88091.0,249995.0,5,54151,SOFTWARE ENGINEER,SUNNYVALE-CA,7949,70.5
2015Q1,CERTIFIED,CO,426,464,18890.0,91230.0,275000.0,18890.0,75820.0,219939.0,5,54151,RESEARCH ASSOCIATE,GREENWOOD VILLAGE-CO,207,48.59
2015Q1,CERTIFIED,CT,673,760,25000.0,90659.0,312000.0,18400.0,76553.0,205379.0,5,54151,PROGRAMMER ANALYST,STAMFORD-CT,338,50.22
2015Q1,CERTIFIED,DC,254,261,27040.0,96697.0,438000.0,21299.0,77451.0,242341.0,5,54151,RESEARCH ASSISTANT,WASHINGTON-DC,192,75.59
2015Q1,CERTIFIED,DE,301,306,30098.0,72622.0,275000.0,30098.0,64445.0,140899.0,5,54151,PROGRAMMER ANALYST,NEWARK-DE,135,44.85
2015Q1,CERTIFIED,FL,1853,4820,21965.0,86623.0,624000.0,15080.0,69940.0,391300.0,5,54151,PROGRAMMER ANALYST,TAMPA-FL,845,45.6
2015Q1,CERTIFIED,GA,1872,2046,20940.0,79245.0,580000.0,19656.0,66689.0,231100.0,5,54151,PROGRAMMER ANALYST,ATLANTA-GA,981,52.4
2015Q1,CERTIFIED,GU,214,237,24752.0,59360.0,520000.0,24752.0,50858.0,244816.0,5,23622,CIVIL ENGINEER,TAMUNING-GU,214,100.0
2015Q1,CERTIFIED,HI,40,40,38366.0,67029.0,140315.0,36733.0,58292.0,113630.0,5,61131,JUNIOR RESEARCHER,HONOLULU-HI,40,100.0
2015Q1,CERTIFIED,IA,221,260,31787.0,82161.0,330000.0,30347.0,67425.0,228200.0,5,54151,POSTDOCTORAL RESEARCH ASSOCIATE,AMES-IA,149,67.42
2015Q1,CERTIFIED,ID,49,49,37440.0,102247.0,200411.0,28475.0,80815.0,192295.0,5,33441,"SENIOR DIRECTOR, POTATO OPERATIONS",BOISE-ID,29,59.18
2015Q1,CERTIFIED,IL,4078,5525,29437.0,87726.0,575000.0,19530.0,75821.0,244234.0,5,54151,PROGRAMMER ANALYST,CHICAGO-IL,1412,34.62
2015Q1,CERTIFIED,IN,339,380,28500.0,83849.0,425000.0,27331.0,66783.0,198723.0,5,54151,PROGRAMMER ANALYST,INDIANAPOLIS-IN,222,65.49
2015Q1,CERTIFIED,KS,195,195,27040.0,83388.0,320000.0,26250.0,68556.0,187199.0,5,54151,PROGRAMMER ANALYST,OVERLAND PARK-KS,109,55.9
2015Q1,CERTIFIED,KY,251,292,18230.0,76684.0,700000.0,18230.0,62079.0,234458.0,5,54151,PROGRAMMER ANALYST,LOUISVILLE-KY,76,30.28
2015Q1,CERTIFIED,LA,183,184,31200.0,83074.0,520000.0,26666.0,63306.0,210454.0,5,54151,PROGRAMMER ANALYST,BATON ROUGE-LA,129,70.49
2015Q1,CERTIFIED,MA,2513,3384,20440.0,95602.0,1050000.0,20440.0,78512.0,252637.0,5,54151,SOFTWARE DEVELOPER,BOSTON-MA,1486,59.13
2015Q1,CERTIFIED,MD,2540,2572,29557.0,74171.0,359895.0,21632.0,64208.0,231700.0,5,54151,COMPUTER PROGRAMMER,ROCKVILLE-MD,555,21.85
2015Q1,CERTIFIED,ME,59,59,32000.0,88295.0,205000.0,21986.0,69413.0,144310.0,6,54151,COMPUTER PROGRAMMER,PORTLAND-ME,49,83.05
2015Q1,CERTIFIED,MI,2878,12655,28163.0,76430.0,525000.0,21986.0,68233.0,228821.0,5,54151,PROGRAMMER ANALYST,TROY-MI,1194,41.49
