quarter,result,state,app_count,worker_count,min_yr_sal,avg_yr_sal,max_yr_sal,min_pw,avg_pw,max_pw,avg_decdur,naics5,job,workcity,samest,ssst
2015Q1,CERTIFIED,AK,25,27,31637.0,113003.0,580653.0,31637.0,81200.0,193960.0,6,61131,PROGRAMMER ANALYST,ANCHORAGE-AK,16,64.0
2015Q1,CERTIFIED,AL,165,302,20800.0,76074.0,237474.0,17618.0,63484.0,187199.0,6,54151,PROGRAMMER ANALYST,MONTGOMERY-AL,68,41.21
2015Q1,CERTIFIED,AR,374,659,29059.0,74284.0,200000.0,22277.0,61187.0,187200.0,5,54151,TECHNOLOGY LEAD - US,BENTONVILLE-AR,89,23.8
2015Q1,CERTIFIED,AZ,1118,3319,31125.0,80537.0,420000.0,24482.0,68552.0,210995.0,5,54151,PROGRAMMER ANALYST,PHOENIX-AZ,239,21.38
2015Q1,CERTIFIED,CA,13902,29419,18720.0,101535.0,580000.0,18720.0,87853.0,249995.0,5,54151,SOFTWARE ENGINEER,SAN FRANCISCO-CA,7949,57.18
2015Q1,CERTIFIED,CO,855,2887,18890.0,82101.0,200000.0,18890.0,72580.0,175220.0,5,54151,PROGRAMMER ANALYST,ENGLEWOOD-CO,207,24.21
2015Q1,CERTIFIED,CT,1303,3580,25000.0,86203.0,312000.0,18400.0,75898.0,205379.0,6,54151,PROGRAMMER ANALYST,HARTFORD-CT,338,25.94
2015Q1,CERTIFIED,DC,540,729,27040.0,90553.0,425000.0,21299.0,76897.0,242341.0,5,54151,PROGRAMMER ANALYST,WASHINGTON-DC,192,35.56
2015Q1,CERTIFIED,DE,539,1421,39707.0,80481.0,275000.0,37149.0,70516.0,140899.0,5,54151,PROGRAMMER ANALYST,WILMINGTON-DE,135,25.05
2015Q1,CERTIFIED,FL,2229,5193,21965.0,83109.0,624000.0,15080.0,67724.0,391300.0,5,54151,PROGRAMMER ANALYST,TAMPA-FL,845,37.91
2015Q1,CERTIFIED,GA,2543,4993,20940.0,82171.0,500000.0,20940.0,69175.0,231100.0,5,54151,PROGRAMMER ANALYST,ATLANTA-GA,981,38.58
2015Q1,CERTIFIED,GU,228,259,24752.0,59769.0,520000.0,24752.0,51629.0,244816.0,5,23622,CIVIL ENGINEER,TAMUNING-GU,214,93.86
2015Q1,CERTIFIED,HI,65,165,38366.0,69203.0,140315.0,36733.0,61163.0,113630.0,5,54151,JUNIOR RESEARCHER,HONOLULU-HI,40,61.54
2015Q1,CERTIFIED,IA,449,1033,31787.0,76747.0,330000.0,30347.0,64482.0,228200.0,5,54151,PROGRAMMER ANALYST,DES MOINES-IA,149,33.18
2015Q1,CERTIFIED,ID,97,186,37440.0,77686.0,200411.0,28475.0,63692.0,192295.0,5,54151,APPLICATION DEVELOPER,BOISE-ID,29,29.9
2015Q1,CERTIFIED,IL,3904,9553,29437.0,82582.0,575000.0,19530.0,67776.0,228400.0,5,54151,PROGRAMMER ANALYST,CHICAGO-IL,1412,36.17
2015Q1,CERTIFIED,IN,741,1284,28500.0,80099.0,425000.0,27331.0,64140.0,198723.0,5,54151,PROGRAMMER ANALYST,INDIANAPOLIS-IN,222,29.96
2015Q1,CERTIFIED,KS,340,751,27040.0,80634.0,320000.0,26250.0,64785.0,187199.0,5,54151,PROGRAMMER ANALYST,OVERLAND PARK-KS,109,32.06
2015Q1,CERTIFIED,KY,315,1263,18230.0,78203.0,525000.0,18230.0,61780.0,234458.0,5,54151,PROGRAMMER ANALYST,LOUISVILLE-KY,76,24.13
2015Q1,CERTIFIED,LA,251,526,31200.0,86010.0,520000.0,26666.0,61267.0,210454.0,5,54151,PROGRAMMER ANALYST,BATON ROUGE-LA,129,51.39
2015Q1,CERTIFIED,MA,2843,6306,20440.0,89003.0,1050000.0,20440.0,75117.0,250806.0,5,54151,PROGRAMMER ANALYST,BOSTON-MA,1486,52.27
2015Q1,CERTIFIED,MD,1278,2216,29557.0,83580.0,312500.0,21632.0,72014.0,231700.0,5,54151,PROGRAMMER ANALYST,BALTIMORE-MD,555,43.43
2015Q1,CERTIFIED,ME,102,224,32000.0,82757.0,205000.0,21986.0,67931.0,144310.0,5,54151,COMPUTER PROGRAMMER,PORTLAND-ME,49,48.04
2015Q1,CERTIFIED,MI,2001,3504,28163.0,77446.0,525000.0,19656.0,66529.0,228821.0,5,54151,PROGRAMMER ANALYST,TROY-MI,1194,59.67
2015Q1,CERTIFIED,MN,1306,2711,25168.0,78366.0,450000.0,23192.0,69133.0,230300.0,5,54151,PROGRAMMER ANALYST,MINNEAPOLIS-MN,311,23.81
2015Q1,CERTIFIED,MO,828,1630,29000.0,79501.0,364000.0,18075.0,66337.0,233459.0,6,54151,PROGRAMMER ANALYST,ST. LOUIS-MO,228,27.54
2015Q1,CERTIFIED,MS,76,112,32234.0,97687.0,375000.0,24898.0,71831.0,325119.0,5,61131,ASSISTANT PROFESSOR,JACKSON-MS,53,69.74
2015Q1,CERTIFIED,MT,10,42,25251.0,73086.0,218750.0,25251.0,63039.0,187199.0,5,52421,PHYSICAL THERAPIST,HELENA-MT,4,40.0
2015Q1,CERTIFIED,NC,2198,4416,21320.0,82171.0,330000.0,19386.0,70852.0,221961.0,5,54151,PROGRAMMER ANALYST,CHARLOTTE-NC,674,30.66
2015Q1,CERTIFIED,ND,75,278,37920.0,89064.0,650000.0,36109.0,65315.0,205323.0,6,54151,MEDICAL TECHNOLOGIST,FARGO-ND,38,50.67
2015Q1,CERTIFIED,NE,219,542,33600.0,81396.0,490000.0,22520.0,67230.0,221042.0,5,54151,PROGRAMMER ANALYST,OMAHA-NE,90,41.1
2015Q1,CERTIFIED,NH,213,478,40000.0,84398.0,350792.0,31491.0,69587.0,152838.0,5,54151,PROGRAMMER ANALYST,MERRIMACK-NH,41,19.25
2015Q1,CERTIFIED,NJ,4841,9923,23830.0,83910.0,468000.0,17659.0,74256.0,248352.0,6,54151,PROGRAMMER ANALYST,JERSEY CITY-NJ,2524,52.14
2015Q1,CERTIFIED,NM,109,151,32000.0,83588.0,260900.0,32000.0,66703.0,260900.0,5,61111,PUBLIC SCHOOL TEACHER,ALBUQUERQUE-NM,70,64.22
2015Q1,CERTIFIED,NV,139,355,31907.0,86685.0,325000.0,31907.0,70242.0,190362.0,5,54151,PROGRAMMER ANALYST,LAS VEGAS-NV,67,48.2
2015Q1,CERTIFIED,NY,6234,12012,27102.0,93983.0,851899.0,20960.0,77927.0,416000.0,5,54151,PROGRAMMER ANALYST,NEW YORK-NY,3234,51.88
2015Q1,CERTIFIED,OH,1959,4372,27040.0,81286.0,676500.0,23795.0,67261.0,340058.0,5,54151,PROGRAMMER ANALYST,COLUMBUS-OH,587,29.96
2015Q1,CERTIFIED,OK,226,421,19240.0,74881.0,256900.0,19178.0,59110.0,187199.0,5,54151,PROGRAMMER ANALYST,OKLAHOMA CITY-OK,90,39.82
