quarter,result,app_count,worker_count,min_yr_sal,avg_yr_sal,max_yr_sal,min_pw,avg_pw,max_pw,avg_decdur,naics5,job,empcity,workcity,samecounty,samest,sscounty,ssst
2015Q1,CERTIFIED,72876,159735,16765,89845,124800000,15080,74713,416000,5,"['54151', '61131', '54161', '54121', '51121']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'COMPUTER PROGRAMMER', 'SYSTEMS ANALYST', 'TECHNOLOGY LEAD - US']","['PLANO-TX', 'NEW YORK-NY', 'DURHAM-NC', 'CHICAGO-IL', 'EAST BRUNSWICK-NJ', 'PHILADELPHIA-PA', 'EDISON-NJ', 'ROCKVILLE-MD', 'SUNNYVALE-CA', 'SECAUCUS-NJ', 'TROY-MI', 'SAN FRANCISCO-CA', 'HOUSTON-TX', 'SAN JOSE-CA', 'REDMOND-WA', 'ISELIN-NJ', 'IRVING-TX', 'SEATTLE-WA', 'SANTA CLARA-CA', 'PISCATAWAY-NJ']","['NEW YORK-NY', 'SAN FRANCISCO-CA', 'HOUSTON-TX', 'ATLANTA-GA', 'SAN JOSE-CA', 'CHICAGO-IL', 'SUNNYVALE-CA', 'SEATTLE-WA', 'REDMOND-WA', 'JERSEY CITY-NJ', 'DALLAS-TX', 'CHARLOTTE-NC', 'BOSTON-MA', 'BELLEVUE-WA', 'MOUNTAIN VIEW-CA', 'PHOENIX-AZ', 'IRVING-TX', 'SAN DIEGO-CA', 'AUSTIN-TX', 'SANTA CLARA-CA']",27222,33221,37.35,45.59
2015Q1,CERTIFIED-WITHDRAWN,7805,8589,24000,141332,188543680,16630,70416,249808,398,"['54151', '61131', '51121', '52311', '54171']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'PROGRAMMER/ANALYST', 'SYSTEMS ANALYST', 'ASSISTANT PROFESSOR']","['NEW YORK-NY', 'PISCATAWAY-NJ', 'REDMOND-WA', 'HOUSTON-TX', 'CHICAGO-IL', 'ALISO VIEJO-CA', 'SAN FRANCISCO-CA', 'SANTA CLARA-CA', 'SAN DIEGO-CA', 'TROY-MI', 'IRVING-TX', 'MOUNTAIN VIEW-CA', 'BOSTON-MA', 'FRISCO-TX', 'DALLAS-TX', 'LOUISVILLE-KY', 'SAN JOSE-CA', 'ATLANTA-GA', 'DURHAM-NC', 'SUNNYVALE-CA']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'REDMOND-WA', 'SAN JOSE-CA', 'SUNNYVALE-CA', 'SAN DIEGO-CA', 'ATLANTA-GA', 'BOSTON-MA', 'CHICAGO-IL', 'MOUNTAIN VIEW-CA', 'BELLEVUE-WA', 'FRISCO-TX', 'AUSTIN-TX', 'ALPHARETTA-GA', 'SANTA CLARA-CA', 'WASHINGTON-DC', 'PISCATAWAY-NJ', 'BALTIMORE-MD', 'RESTON-VA']",4191,4890,53.7,62.65
2015Q1,DENIED,1688,2512,15080,224238,237952000,0,639341,221555360,5,"['54151', '61131', '54161', '54133', '51121']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'COMPUTER PROGRAMMER', 'SOFTWARE DEVELOPER', 'BUSINESS ANALYST']","['NEW YORK-NY', 'DURHAM-NC', 'SAN FRANCISCO-CA', 'HOUSTON-TX', 'LOS ANGELES-CA', 'SAN DIEGO-CA', 'PHILADELPHIA-PA', 'EDISON-NJ', 'CHICAGO-IL', 'SAN JOSE-CA', 'BROOKLYN-NY', 'BOSTON-MA', 'SEATTLE-WA', 'DALLAS-TX', 'ATLANTA-GA', 'ISELIN-NJ', 'WASHINGTON-DC', 'AUSTIN-TX', 'IRVING-TX', 'SECAUCUS-NJ']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'LOS ANGELES-CA', 'SAN DIEGO-CA', 'SAN JOSE-CA', 'BROOKLYN-NY', 'DALLAS-TX', 'SEATTLE-WA', 'CHICAGO-IL', 'WASHINGTON-DC', 'ATLANTA-GA', 'AUSTIN-TX', 'BOSTON-MA', 'TAMUNING-GU', 'HONOLULU-HI', 'JERSEY CITY-NJ', 'MIAMI-FL', 'MOUNTAIN VIEW-CA', 'SUNNYVALE-CA']",1064,1191,63.03,70.56
2015Q1,WITHDRAWN,2816,3647,19288,350202,208000000,19288,164553,172968640,168,"['54151', '61131', '33441', '54171', '54133']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'COMPUTER SYSTEMS ANALYST', 'APPLICATION DEVELOPER', 'COMPUTER PROGRAMMER']","['DURHAM-NC', 'NEW YORK-NY', 'HOUSTON-TX', 'SANTA CLARA-CA', 'EDISON-NJ', 'IRVINE-CA', 'CHICAGO-IL', 'IRVING-TX', 'EAST BRUNSWICK-NJ', 'SAN FRANCISCO-CA', 'ATLANTA-GA', 'SAN DIEGO-CA', 'MILPITAS-CA', 'CUPERTINO-CA', 'MOUNTAIN VIEW-CA', 'SAN JOSE-CA', 'NASHVILLE-TN', 'PLANO-TX', 'SUNNYVALE-CA', 'PISCATAWAY-NJ']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'SAN DIEGO-CA', 'SUNNYVALE-CA', 'SAN JOSE-CA', 'ATLANTA-GA', 'SANTA CLARA-CA', 'DALLAS-TX', 'MOUNTAIN VIEW-CA', 'CHICAGO-IL', 'CUPERTINO-CA', 'AUSTIN-TX', 'CHARLOTTE-NC', 'MIDDLETOWN-NJ', 'COLUMBUS-OH', 'BOSTON-MA', 'PHOENIX-AZ', 'SYRACUSE-NY', 'SEATTLE-WA']",1287,1510,45.7,53.62
2015Q2,CERTIFIED,256911,553977,17000,83554,405600000,15600,69431,181232480,6,"['54151', '54161', '5416', '54133', '61131']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'COMPUTER PROGRAMMER', 'SYSTEMS ANALYST', 'SOFTWARE DEVELOPER']","['PLANO-TX', 'NEW YORK-NY', 'CHICAGO-IL', 'ROCKVILLE-MD', 'DURHAM-NC', 'EDISON-NJ', 'EAST BRUNSWICK-NJ', 'HOUSTON-TX', 'SUNNYVALE-CA', 'PHILADELPHIA-PA', 'IRVING-TX', 'ISELIN-NJ', 'SANTA CLARA-CA', 'SAN JOSE-CA', 'SAN FRANCISCO-CA', 'PISCATAWAY-NJ', 'TROY-MI', 'MOUNTAIN VIEW-CA', 'DALLAS-TX', 'ATLANTA-GA']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'ATLANTA-GA', 'SAN JOSE-CA', 'CHICAGO-IL', 'IRVING-TX', 'SUNNYVALE-CA', 'DALLAS-TX', 'SANTA CLARA-CA', 'AUSTIN-TX', 'JERSEY CITY-NJ', 'MOUNTAIN VIEW-CA', 'CHARLOTTE-NC', 'REDMOND-WA', 'EDISON-NJ', 'BOSTON-MA', 'PLANO-TX', 'SEATTLE-WA', 'ALPHARETTA-GA']",122063,142703,47.51,55.55
2015Q2,CERTIFIED-WITHDRAWN,7872,8495,21694,114391,124800000,16650,69537,360006,360,"['54151', '61131', '51121', '54133', '52311']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'SYSTEMS ANALYST', 'ASSISTANT PROFESSOR', 'SOFTWARE DEVELOPER']","['NEW YORK-NY', 'HOUSTON-TX', 'DURHAM-NC', 'REDMOND-WA', 'ATLANTA-GA', 'TROY-MI', 'CHICAGO-IL', 'SAN FRANCISCO-CA', 'IRVING-TX', 'MOUNTAIN VIEW-CA', 'PISCATAWAY-NJ', 'ALISO VIEJO-CA', 'SAN DIEGO-CA', 'RALEIGH-NC', 'FRISCO-TX', 'PLANO-TX', 'SAN JOSE-CA', 'DALLAS-TX', 'EDISON-NJ', 'LOUISVILLE-KY']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'REDMOND-WA', 'ATLANTA-GA', 'MOUNTAIN VIEW-CA', 'CHICAGO-IL', 'SAN JOSE-CA', 'RALEIGH-NC', 'SAN DIEGO-CA', 'SUNNYVALE-CA', 'BOSTON-MA', 'BELLEVUE-WA', 'AUSTIN-TX', 'IRVING-TX', 'TROY-MI', 'WASHINGTON-DC', 'PHOENIX-AZ', 'LOS ANGELES-CA', 'FRISCO-TX']",4554,5177,57.85,65.76
2015Q2,DENIED,4474,7906,16640,113216,167107200,0,1064778,306741760,8,"['54151', '54161', '54133', '61131', '62211']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'ACCOUNTANT', 'SOFTWARE DEVELOPER', 'BUSINESS ANALYST']","['NEW YORK-NY', 'SAN JOSE-CA', 'DURHAM-NC', 'HOUSTON-TX', 'JERSEY CITY-NJ', 'CHICAGO-IL', 'SAN FRANCISCO-CA', 'PHILADELPHIA-PA', 'LOS ANGELES-CA', 'MOUNTAIN VIEW-CA', 'DALLAS-TX', 'ATLANTA-GA', 'IRVING-TX', 'MIAMI-FL', 'SANTA CLARA-CA', 'BROOKLYN-NY', 'BOSTON-MA', 'EDISON-NJ', 'PALO ALTO-CA', 'SAN DIEGO-CA']","['NEW YORK-NY', 'SAN JOSE-CA', 'HOUSTON-TX', 'JERSEY CITY-NJ', 'SAN FRANCISCO-CA', 'CHICAGO-IL', 'ATLANTA-GA', 'LOS ANGELES-CA', 'DALLAS-TX', 'SAN DIEGO-CA', 'MOUNTAIN VIEW-CA', 'MIAMI-FL', 'BOSTON-MA', 'BROOKLYN-NY', 'AUSTIN-TX', 'IRVING-TX', 'BELLEVUE-WA', 'IRVINE-CA', 'CAMBRIDGE-MA', 'CHARLOTTE-NC']",3264,3519,72.95,78.65
2015Q2,WITHDRAWN,8532,12654,20000,348451,226720000,15080,237505,169638560,37,"['54151', '54133', '61131', '54161', '51121']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'SOFTWARE DEVELOPER', 'SYSTEMS ANALYST', 'COMPUTER PROGRAMMER']","['DURHAM-NC', 'NEW YORK-NY', 'EDISON-NJ', 'HOUSTON-TX', 'SAN JOSE-CA', 'SANTA CLARA-CA', 'IRVING-TX', 'SAN FRANCISCO-CA', 'CHICAGO-IL', 'MOUNTAIN VIEW-CA', 'TROY-MI', 'PLANO-TX', 'PISCATAWAY-NJ', 'SIMI VALLEY-CA', 'WESTBOROUGH-MA', 'FREMONT-CA', 'PRINCETON-NJ', 'ISELIN-NJ', 'ALISO VIEJO-CA', 'LOS ANGELES-CA']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'BATON ROUGE-LA', 'CHICAGO-IL', 'SAN JOSE-CA', 'ATLANTA-GA', 'LOS ANGELES-CA', 'SANTA CLARA-CA', 'MOUNTAIN VIEW-CA', 'IRVING-TX', 'CHARLOTTE-NC', 'DALLAS-TX', 'SAN DIEGO-CA', 'PISCATAWAY-NJ', 'PHOENIX-AZ', 'BOSTON-MA', 'EDISON-NJ', 'NASHUA-NH', 'AUSTIN-TX']",4558,5202,53.42,60.97
2015Q3,CERTIFIED,109159,212530,16765,92387,149760000,15080,75606,707200,5,"['54151', '61131', '54161', '62211', '54133']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'COMPUTER PROGRAMMER', 'SYSTEMS ANALYST', 'TECHNOLOGY LEAD - US']","['PLANO-TX', 'NEW YORK-NY', 'ROCKVILLE-MD', 'CHICAGO-IL', 'EDISON-NJ', 'PHILADELPHIA-PA', 'HOUSTON-TX', 'SUNNYVALE-CA', 'SAN FRANCISCO-CA', 'EAST BRUNSWICK-NJ', 'SAN JOSE-CA', 'DURHAM-NC', 'IRVING-TX', 'SANTA CLARA-CA', 'MOUNTAIN VIEW-CA', 'DALLAS-TX', 'BOSTON-MA', 'TROY-MI', 'PISCATAWAY-NJ', 'ISELIN-NJ']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'SAN JOSE-CA', 'CHICAGO-IL', 'ATLANTA-GA', 'SUNNYVALE-CA', 'BOSTON-MA', 'SEATTLE-WA', 'REDMOND-WA', 'AUSTIN-TX', 'DALLAS-TX', 'MOUNTAIN VIEW-CA', 'JERSEY CITY-NJ', 'CHARLOTTE-NC', 'SAN DIEGO-CA', 'IRVING-TX', 'PHILADELPHIA-PA', 'PHOENIX-AZ', 'SANTA CLARA-CA']",49108,58341,44.99,53.45
2015Q3,CERTIFIED-WITHDRAWN,11482,16184,18000,109645,144328080,16680,71105,250900,293,"['54151', '61131', '52311', '51121', '54133']","['PROGRAMMER ANALYST', 'SOFTWARE ENGINEER', 'PROJECT MANAGER', 'LEAD ENGINEER', 'ASSISTANT PROFESSOR']","['EAST BRUNSWICK-NJ', 'NEW YORK-NY', 'HOUSTON-TX', 'MOUNTAIN VIEW-CA', 'SAN FRANCISCO-CA', 'IRVING-TX', 'SAN JOSE-CA', 'SANTA CLARA-CA', 'BALTIMORE-MD', 'BELLEVUE-WA', 'TROY-MI', 'BOSTON-MA', 'DALLAS-TX', 'CHICAGO-IL', 'ATLANTA-GA', 'WOODBRIDGE-NJ', 'REDMOND-WA', 'EAST LANSING-MI', 'FRISCO-TX', 'FARMINGTON HILLS-MI']","['NEW YORK-NY', 'HOUSTON-TX', 'SAN FRANCISCO-CA', 'SAN JOSE-CA', 'MOUNTAIN VIEW-CA', 'BALTIMORE-MD', 'BELLEVUE-WA', 'BOSTON-MA', 'IRVING-TX', 'SANTA CLARA-CA', 'SUNNYVALE-CA', 'CHICAGO-IL', 'ATLANTA-GA', 'AUSTIN-TX', 'SAN DIEGO-CA', 'REDMOND-WA', 'FRISCO-TX', 'PLANO-TX', 'PHILADELPHIA-PA', 'CAMBRIDGE-MA']",6078,6922,52.94,60.29
